iter	RMSE
0	0.1560084877
1	0.1463237873
2	0.1375396209
3	0.1295536978
4	0.1223074907
5	0.1158767897
6	0.109609265
7	0.1039486311
8	0.09894709031
9	0.09460855618
10	0.09035578274
11	0.08646030572
12	0.08302945136
13	0.07994959123
14	0.07720855937
15	0.07475807833
16	0.07265008934
17	0.07068126314
18	0.06895894882
19	0.06745488714
20	0.06609447726
21	0.06492178263
22	0.06390428548
23	0.06301960822
24	0.06226566907
25	0.06159658174
26	0.06102004565
27	0.06053456186
28	0.06010577544
29	0.05971231836
30	0.05940110478
31	0.05911114471
32	0.05886267966
33	0.05862569334
34	0.05843672047
35	0.05826428769
36	0.05810126023
37	0.05796242996
38	0.05785603828
39	0.05774479175
40	0.05764888555
41	0.05756583581
42	0.05748946379
43	0.05742475183
44	0.05736580802
45	0.05730310899
46	0.05725772151
47	0.05721700701
48	0.05716906812
49	0.05713407247
50	0.05709283962
51	0.05706127938
52	0.0570279813
53	0.05699966367
54	0.05697424915
55	0.0569469388
56	0.05692448273
57	0.05690207939
58	0.05688262528
59	0.05686624517
60	0.05684920248
61	0.05683130859
62	0.05681581311
63	0.05680375774
64	0.0567881063
65	0.05677855964
66	0.05676920889
67	0.05675435397
68	0.05674604277
69	0.05673506424
70	0.0567226523
71	0.0567123698
72	0.05670614652
73	0.05669478118
74	0.05668762621
75	0.05668093861
76	0.0566718307
77	0.05666312744
78	0.05665665004
79	0.05665091643
80	0.05664621118
81	0.05664066368
82	0.05663506267
83	0.0566289173
84	0.05662381145
85	0.05661872239
86	0.05661339459
87	0.0566072693
88	0.05660345883
89	0.05659898415
90	0.05659471698
91	0.05658926478
92	0.05658593022
93	0.05658093513
94	0.05657287721
95	0.05656992612
96	0.05656616318
97	0.05656152127
98	0.05655891108
99	0.05655574
100	0.0565523427
101	0.05654750878
102	0.05654447515
103	0.05653998629
104	0.056536759
105	0.05652973449
106	0.05652645557
107	0.05652429585
108	0.05652077769
109	0.05651702738
110	0.05651415515
111	0.05651323077
112	0.05650762498
113	0.05650264187
114	0.05649992483
115	0.05649658344
116	0.05649289698
117	0.05648941035
118	0.05648500006
119	0.05647944815
120	0.05647652709
121	0.05647476744
122	0.05647170705
123	0.05646851833
124	0.05646531272
125	0.05646212459
126	0.05645892353
127	0.05645683481
128	0.05645437274
129	0.05645061076
130	0.05644867381
131	0.05644631846
132	0.0564439698
133	0.05644076726
134	0.05643806839
135	0.05643632718
136	0.05643350491
137	0.05642972235
138	0.05642893834
139	0.05642385324
140	0.05642031439
141	0.05641879334
142	0.05641846457
143	0.0564161239
144	0.05641303347
145	0.0564100279
146	0.05640688731
147	0.05640305641
148	0.05640101161
149	0.05639899317
150	0.05639648109
151	0.05639342449
152	0.05639158269
153	0.05638956219
154	0.05638798564
155	0.05638596588
156	0.05638260098
157	0.05638054363
158	0.05637806505
159	0.05637617002
160	0.05637298743
161	0.05637104539
162	0.05637011049
163	0.05636735444
164	0.0563656991
165	0.0563636496
166	0.05636070601
167	0.05635811986
168	0.05635518175
169	0.05635231569
170	0.05635187221
171	0.0563484301
172	0.05634813743
173	0.05634529984
174	0.05634422769
175	0.05634312375
176	0.0563407995
177	0.0563385902
178	0.05633645077
179	0.0563333823
180	0.05633010192
181	0.05632816028
182	0.05632718495
183	0.05632615706
184	0.05632560482
185	0.05632480211
186	0.05632354544
187	0.05632271648
188	0.0563225597
189	0.05632092086
190	0.05631929225
191	0.05631620206
192	0.05631596967
193	0.05631397294
194	0.05631134208
195	0.05630908457
196	0.05630739902
197	0.05630334426
198	0.05630121625
199	0.05629867809
200	0.05629803388
201	0.05629613991
202	0.05629393243
203	0.05629184907
204	0.05629034305
205	0.05628821736
206	0.05628591879
207	0.05628348662
208	0.05628065047
209	0.05627898694
210	0.05627720982
211	0.0562745738
212	0.05627277521
213	0.0562707283
214	0.05626919183
215	0.05626741553
216	0.05626530916
217	0.0562645572
218	0.05626201454
219	0.05626028312
220	0.05625796489
221	0.05625607202
222	0.05625448783
223	0.05625264182
224	0.05625174665
225	0.05624996242
226	0.05624786374
227	0.05624420297
228	0.05624265003
229	0.05624112683
230	0.05624039574
231	0.05623913582
232	0.05623872867
233	0.05623651864
234	0.0562353616
235	0.05623464209
236	0.05623282592
237	0.05623202991
238	0.05623115109
239	0.05622939766
240	0.05622815363
241	0.05622598027
242	0.05622447074
243	0.05622324364
244	0.0562208498
245	0.05622008339
246	0.056219163
247	0.05621889083
248	0.05621877512
249	0.05621713562
250	0.05621684445
251	0.05621603126
252	0.05621561503
253	0.05621481852
254	0.05621301214
255	0.0562122873
256	0.05621106569
257	0.05620953641
258	0.0562070463
259	0.05620620716
260	0.05620496709
261	0.05620364844
262	0.05620209951
263	0.056201833
264	0.05620029489
265	0.0561990635
266	0.05619793393
267	0.05619687637
268	0.05619619023
269	0.05619459287
270	0.05619356957
271	0.05619287551
272	0.05619011808
273	0.05618780996
274	0.05618620995
275	0.05618452854
276	0.05618274849
277	0.05618209277
278	0.05618206116
279	0.05618108469
280	0.05617991788
281	0.05617897124
282	0.05617709633
283	0.05617495746
284	0.0561740429
285	0.0561730413
286	0.05617175727
287	0.05617064528
288	0.05616909167
289	0.05616903222
290	0.05616794677
291	0.05616673163
292	0.05616579918
293	0.05616440874
294	0.0561635456
295	0.05616257566
296	0.05616169073
297	0.05616166178
298	0.05616098747
299	0.05616007669
300	0.05615793873
301	0.05615790479
302	0.05615711533
303	0.05615591439
304	0.05615436676
305	0.05615374153
306	0.05615283659
307	0.05615179538
308	0.05615030127
309	0.05615027314
310	0.05614963544
311	0.05614849818
312	0.05614703707
313	0.05614605606
314	0.05614537723
315	0.05614507626
316	0.05614503045
317	0.05614405707
318	0.05614312468
319	0.05614204734
320	0.05614082668
321	0.0561400946
322	0.05613929566
323	0.05613826106
324	0.05613723141
325	0.05613575779
326	0.05613502664
327	0.05613433101
328	0.05613337392
329	0.05613221438
330	0.0561304383
331	0.05612916594
332	0.0561277861
333	0.05612776865
334	0.05612696207
335	0.05612630977
336	0.05612568502
337	0.05612501072
338	0.05612382313
339	0.0561231462
340	0.05612139613
341	0.0561203492
342	0.05611934281
343	0.05611770912
344	0.05611703906
345	0.05611656099
346	0.05611606554
347	0.05611532393
348	0.0561142221
349	0.05611187666
350	0.05611022304
351	0.05610924169
352	0.05610812374
353	0.0561068958
354	0.0561059488
355	0.05610513515
356	0.05610384896
357	0.05610107125
358	0.05610046493
359	0.05609997285
360	0.05609854615
361	0.0560981334
362	0.05609752238
363	0.05609740623
364	0.05609717172
365	0.0560960966
366	0.05609414024
367	0.05609356758
368	0.05609220107
369	0.05609201762
370	0.05609168091
371	0.05609015527
372	0.05608960554
